Disease,S1,S2,S3,S4,S5,S6
Midline craniofacial anomalies and morning glory disc anomaly,Strabismus,Cleft palate,Porencephaly,Morning glory disc anomaly,Basal encephalocele,Anterior segment dysgenesis
"Hereditary carnitine deficiency syndrome, systemic",Rhabdomyolysis,Low blood ammonia level,Confusion,Low blood sugar,Muscle weakness,Stupor
Cephalic disorders,Abnormal brain development,Underdeveloped brain,Brain protruding through opening in skull,Muscle and movement problems,Infant death,Absence of portion of skull
Decreased mean cell volume,Thin nails,Loss of appetite,Dizziness,Impaired thinking,Sore mouth,Headaches
Carbamazepine -- teratogenic agent,Ventricular septal defects,Esophageal atresia,Pulmonary stenosis,Small head,Dextrocardia,Inguinal hernias
Hymenolepiasis,Loss of appetite,Restlessness,Anal itching,Irritability,Diarrhea,Abdominal pain
"Mental retardation, x-linked, brooks type",Low hairline at back,Protruding ears,Sunken  chest,Tented upper lip,Low set ears,Deep set eyes
"Mental retardation, x-linked, cabezas type",Short statures,High arched foot,Speech impairment,Muscle wasting,Kyphosis,Delayed puberty
Occupational liver damage -- tetrachloroethane,Nausea,Enlarged liver,Loss of appetite,Jaundice,Tiredness,Liver abnormalities
"Smith-lemli-opitz syndrome, type 2",Ventricular septal defects,Cystic kidneys,Right-sided aortic arch,Short limbs,Camptodactyly,Double outlet right ventricle
Nevo syndrome,Muscle hypotonia,Edema at birth,Retarded motor development,Malformed ears,Increased intrauterine growth,Retarded speech development
"Hemophagocytic lymphohistiocytosis, familial, 1",Easy bruising,Enlarged liver,Rashes,Swollen gums,Jaundice,Thrombocytopenia
Mayapple poisoning,Nausea,Salivations,Leukopenia,Paresthesia,Reduced blood pressure,Dizziness
Focal sensory seizure,Strange smell,Hearing sounds that don't exist,Abnormal buzzing sounds,Abnormal hissing sounds,Abnormal ringing sounds,Abnormal unpleasant taste in mouth
Foix-chavany-marie syndrome,Paralysis of nerve vii voluntary movements,Paralysis of nerve xii voluntary movements,Speaking difficulty,Paralysis of nerve v voluntary movements,Paralysis of nerve ix voluntary movements,Paralysis of nerve x voluntary movements
Biemond syndrome type 2,Reduced hormone production by testes,Delayed development of secondary sex characteristics,Delayed puberty,Reduced ovarian hormone production,Pituitary dwarfism,Secondary hypogenitalism
Dandy-walker -- facial hemangioma,Cranial nerve paralysis,Small head,Red skin lesion on face,Bulge in back of head,Delayed motor development,Mental retardation
Oriental hornet poisoning,Anaphylaxis,Reduced blood pressure,Rhabdomyolysis,Impaired blood clotting,Breathing difficulties,Liver toxicity
The congenital lactic acidoses,Metabolic acidosis,Scalp hair loss,Reduced muscle tone,Changes in appetite,Convulsions,Muscle weakness
Bradbury-eggleston syndrome,Dizziness,Heat intolerance,Impotency,Lightheadedness on standing,Night urination,Visual disturbances
Da costa syndrome,Hyperventilation,Dizziness,Palpitations,Chest pain,Sweating,Fatigue on exertion
Plant poisoning -- amygdalin,Nausea,Coma,Irregular breathing,Spasms,Mental confusion,Bluish fingernails
Hereditary sensory and autonomic neuropathy 3,Unstable blood pressure,Delayed walking,Reduced tear production,Poor balance,Reduced sensitivity to pain,High blood pressure
Chromosome 22q deletion syndrome,Ventricular septal defects,Short space between eyelids,Neonatal hyperbilirubinemia,Short philtrum,Reactive airway disease,Low eyebrows
Lambert syndrome,Preauricular tags,Club feet,Atresia of auditory meatus,Inguinal hernias,Jaundice,Mental deficiency
Chemical poisoning -- mineral-based crankcase oil,Fluid in lungs,Breathing difficulties,Oil acne - chronic skin exposure,Folliculitis,Dermatitis,Eye irritation
Renal segmental hypoplasia-induced hypertension,General feeling of unwellness,Flank pain,Uremia,Hemolysis,High blood pressure,Headaches
Renal rickets,Short statures,Impaired growth,Skeletal deformities,Bone pain,Acidosis,Muscle cramps
Respiratory acidosis,Easily fatigued,Dilated brain blood vessels,Coma,Abnormal heart rhythm,Low blood pressure,Increased pressure inside skull
Cocaine fetopathy,Encephalocele,Premature rupture of membranes,Ventricular septal defects,Eyelids swelling,Intrauterine growth restriction,Small head
Atrioventricular septal defect,Ventricular septal defects,Abnormal heart rhythm,Mitral regurgitation murmur,Cyanosis with straining,Cyanosis with crying,Orthopnea
Wandering spleen,Nausea,Splenomegaly,,Abnormal spleen position,Abdominal discomfort,Irregular menstrual cycles
Walrus poisoning,Nausea,Enlarged liver,Muscle cramps,Dizziness,Headaches,Irritability
Chemical poisoning -- profenofos,Nausea,Salivations,Coma,Increased blood sugar,Reduced platelet count,Paresthesia
Virilizing ovarian tumor,Reduced breast size,Absence of menstruation,Hypersexuality (increased sex drive),Baldness,Deep voice,Increased musculature
Age-related hearing impairment,Certain noises are particularly annoying,Tinnitus,Progressive difficulty hearing higher frequencies,When other people speak it sounds slurred or mumbled,Letters such as s and th are hard to distinguish,
Agammaglobulinemia -- microcephaly -- craniosynostosis -- severe dermatitis,Underdeveloped nostrils,Decreased b-cells,Small head,Severe dermatitis,Narrowed choanae,Cleft palate
"Agammaglobulinemia, microcephaly, and severe dermatitis",Underdeveloped nostrils,Decreased b-cells,Small head,Severe dermatitis,Narrowed choanae,Cleft palate
Hanhart syndrome type ii,Delayed gonad development,Short underdeveloped tongue,Some teeth missing,Small jaw,Brachycephaly,Retarded growth
Visceral myopathy familial external ophthalmoplegia,Ocular paresis,Emesis,Weak eyelids,Tenderness,Impaired ability of intestinal walls to contract,Ptosis
Del (2) (q37.1-qter),High arched palate,Reduced muscle tone,Rotated ears,Umbilical hernia,Loose skin folds on neck,Low set ears
Del (2) (q35-qter),Short statures,Underdeveloped corpus callosum,Duodenal atresia,Small head,Dandy walker malformations,Cleft palate
Del (2) (q34-q36),Short statures,Patent ductus arteriosus,Cleft palate,Some teeth missing,Atrial septal defects,Sunken  chest
Del (2) (q37.3-qter) and dup (8) (q24.3-qter)),Short statures,Short fingers,Stocky build,Inguinal hernias,Sparse hair,Short toes
Frints -- de smet -- fabry -- fryns syndrome,Short fingers,Skeletal defects,Facial dysmorphism,Webbed toes,Hypermobile joints,Short toes
Lodine -- teratogenic agent,Hydrops,Oral clefts,Patent ductus arteriosus,Intraventricular hemorrhage,Bronchopulmonary dysplasia,Limb reduction defects
Loeffler's endocarditis,Thromboembolism,Rashes,Cough,Tachycardia,Enlarged heart,Heart murmurs
Chromosome 10 ring,Increased number of whirls on dermal ridges,Strabismus,Small penis,Small head,Funnel chest,Clinodactyly
Ketorolac -- teratogenic agent,Hydrops,Oral clefts,Patent ductus arteriosus,Intraventricular hemorrhage,Bronchopulmonary dysplasia,Limb reduction defects
Thoraco abdominal enteric duplication,Enlarged liver,Abnormal number of ribs,Flexed fingers,Meningocele,Duodenum constricted by band of pancreatic tissue,Heart in wrong side of chest
Thoracopelvic dysostosis,Rib abnormalities,Enlarged liver,Frequent chest infections,Pelvis abnormality,Farsightedness,Small pelvis
Cipramil -- teratogenic agent,Duodenal atresia,Oral clefts,Patent ductus arteriosus,Hydronephrosis,Undescended testicles,Laryngeal anomalies
Pick's disease,Speech disturbances,Lack of spontaneity,Emotional dullness,Loss of memory,Loss of moral judgment,Progressive dementia
Protozoan infections,Nausea,Irritability,Diarrhea,Abdominal bloating,Malaise,Abdominal pain
Limb transversal defect -- cardiac anomaly,Short statures,Premature death,Absent fibula,Webbed toes,Short tibias,Enlarged heart
Non-lissencephalic cortical dysplasia,Monoplegia,Spastic hemiplegia,Small head,Infantile spasms,Mental retardation,Motor dysfunction
Duodenal atresia tetralogy of fallot,Cessation of bowel movements,Cessation of urination,Bile-stained vomit after birth,Metabolic acidosis,Breathing difficulties,Toe clubbing
Thieffry and sorrell dejerine syndrome,High blood alkaline phosphatase level,Overlapping toes,Pex cavus,Hyroxyprolinuria,Progressive painless destruction of wrist bones,Progressive painless destruction of ankle bones
Boston ivy poisoning,Salivations,Sensitivity to light,Dysphonia,Eye tearing - eye exposure,Eye pain,Corneal abrasions
Chemical poisoning -- glutaraldehyde,Nausea,Cough,Skin sensitization,Headaches,Nose irritation,Shortness of breath or wheezing
Florida leucothoe poisoning,Nausea,Watery eyes,Tingling skin,Intoxication,Headaches,Cold sensation
Non-food allergy -- africanized honeybee,Nausea,Hives,Watery eyes,Low blood pressure,Lightheadedness,Throat swelling
Lipidosis with triglyceride storage disease,Enlarged liver,Hives,Tight skin,Muscle wasting,Flat upper lip groove,Weak eye muscles
"Lipoatrophy with diabetes, hepatic steatosis, cardiomyopathy, and leukomelanodermic papules",Narrow shoulders,Fatty liver,Square jaw,Heart muscle disease,High forehead,Sunken  chest
Focal seizure,Nausea,Inability to speak,Numbness,Facial twitching,Abnormal uncontrollable musle movements,Inability to move
Camptodactyly -- fibrous tissue hyperplasia -- skeletal dysplasia,Flared nostrils,Expressionless face,Camptodactyly,Long feet,Patent ductus arteriosus,Long thin toes
Camptodactyly -- joint contractures and facial skeletal dysplasia,Short statures,Nearsightedness,Spinal curvature,Protruding eyeballs,Drooping upper eyelids,Joint contractures
"Camptodactyly syndrome, guadalajara type 3",Short statures,Depressed lower sternum,Underdeveloped 12th rib,Hallux valgus,Malocclusion of teeth,Epicanthus
"Camptodactyly syndrome, guadalajara type iii",Thickened bone cortex,Simple ears,Thin hands,Thin feet,Camptodactyly,Flat face
Alpha 1-antitrypsin deficiency,Cough,Emphysema,Jaundice,Shortness of breath or wheezing,Increased difficulty exercising,Rapid heartbeat upon standing
Lymphoedema -- microcephaly -- chorioretinopathy,Lymphedema,Broad nose tip,Swollen feet or ankles,Flat back of head,Small head,Anteverted nostrils
Chemical poisoning -- propylene glycol dinitrate,Nausea,Dizziness,Conjunctivitis,Methemoglobinemia,Headaches,Confusion
Smith-martin-dodd syndrome,Short statures,Breathing difficulties,Impaired hearing,Vision loss,Low set ears,Prominent ears
Momo syndrome,Large head,Retinal coloboma,Glaucoma,Large mouth,Large size at birth,Downslanting space between eyelids
Hypopituitarism postaxial polydactyly,Short statures,Extra little fingers,Growth hormone deficiency,Small penis,Low sugar level in infants,Undescended testicles
Meclofenamate -- teratogenic agent,Hydrops,Oral clefts,Patent ductus arteriosus,Intraventricular hemorrhage,Bronchopulmonary dysplasia,Limb reduction defects
Hydronephrosis with peculiar facies,Unusual face,Hydroureter,Hydronephrosis,Constipations,Bed wetting,Undescended testicles
"Dystonia 1, torsion, autosomal dominant",Facial grimacing,Speaking difficulty,Curvature of the spine,Eyelid spasms,Abnormal posturing,Uncontrollable sustained muscle contractions
"Dystonia-parkinsonism, adult-onset",Spasticity,Eye movement problems,Foot dragging,Parkinsonism,Personality changes,Impaired ability to make facial expressions
Dystonia musculorum deformans 1,Facial grimacing,Speaking difficulty,Curvature of the spine,Eyelid spasms,Abnormal posturing,Uncontrollable sustained muscle contractions
Urophathy distal obstructive polydactyly,Abnormal kidneys,Beaked nose,Small jaw,Hydronephrosis,Urethral anomalies,Low set ears
"Onychotrichodysplasia, chronic neutropenia and mental retardation syndrome",Spoon nails,Short curly eyelashes,Conjunctivitis,Short hair,No armpit hair,Dry lusterless hair
Richieri costa guion-almeida syndrome,Short statures,Strabismus,Short fingers,Small head,Retinal coloboma,Cleft palate
Richieri-costa da silva syndrome,Short statures,Kyphosis,Osteoporosis,Myotonia,Muscle disease,Vertebral shape abnormalities
Mental retardation -- short stature -- microcephaly -- eye anomalies,Short statures,Small head,Small ears,Narrow ear canals,Coloboma of iris,Mental retardation
Chemical poisoning -- chlordecone,Skin redness,Anxiety,Headaches,Kidney damage,Chest pain,Testicular wasting
"Motor neuropathy, peripheral with dysautonomia",Muscle wasting,Abnormal esophageal function (esophageal achalasia),Blue fingers in cold weather,Blue toed in cold weather,Enlarged esophagus,Progressive muscle weakness
Cerebellar hypoplasia -- tapetoretinal degeneration,Reduced muscle tone,Underdeveloped brain - cerebellum,Delayed language development,Delayed motor development,Mental retardation,Ataxia
"Cerebellar ataxia, x-linked",High arched foot,Dysdiachokinesia,Muscle wasting,Intention tremor,Reduced muscle tone,Dysmetria
Cerebellar atrophy with progressive microcephaly,Small brain,Delayed development,Small head,Knee contractures,Optic atrophy,Elbow contractures
Cerebellar hypoplasia,Involuntary eye movements,Delayed development,Poor balance,Reduced muscle tone,Headaches,Vertigo
Peripheral t-cell lymphoma,Night sweats,Groin lump,Lymph node swelling,Armpit lump,Increased lactate dehydrogenase (ldh),Fever
Ciguatera poisoning,Nausea,Dizziness,Hallucinations,Nightmares,Breathing difficulties,Restlessness
Childhood-onset bipolar disorder,Stomachaches,Complaining,Frequent absences from school or poor performance in school,Headaches,Extreme sensitivity to rejection or failure,Irritability
Developmental delay -- hypotonia extremities hypertrophy,Curved fingers,Eczema,Dry skin,Reduced reflexes,Brain development abnormalities,Round face
Developmental lactase deficiency,Nausea,Metabolic acidosis,Distended stomach,Diarrhea,Abdominal bloating,Reduced or absent lactase activity
"Acromegaloid changes, cutis verticis gyrata and corneal leukoma",Corneal leukomas,Furrowed skin on face,Furrowed scalp skin,Large feet,Blindness,Acromegaloid development
Acrofrontofacionasal dysostosis syndrome,Short statures,Abnormal urinary tract function,Hole in eyelids,Midface anomalies,Short limbs,Camptodactyly
Upper limb defect eye and ear abnormalities,Hearing loss,Underdeveliped antihelix of one ear,Choroid coloboma in both eyes,Underdeveloped right thumb,Epicanthic folds,Upper limb defects
Acromegaloid hypertrichosis syndrome,Short palpebral fissures,Short eyelids,Puffy eyelids,Protruding lips,Severe learning difficulties,Abnormal webbing inside of mouth
Acromegaloid facies -- hypertrichosis,Thick upper eyelids,Reduced intelligence,Thickening of hands - starts in childhood,High arched eyebrows,Overgrown mucosa inside mouth,Bulbous nose
"Neurofibromatosis, type 4, of riccardi",Café au lait spots,Central nervous system tumors,Multiple benign skin tumors,Freckles in perineum,Freckles in armpits,Multiple benign nerve tumors
Tay sachs disease,Intellectual impairment,Large head,Paralysis,Red spot on fundus of eye,Blindness,Dementia
Occupational liver damage -- beryllium,Nausea,Enlarged liver,Loss of appetite,Jaundice,Tiredness,Liver abnormalities
Occupational liver damage -- benzyl chloride,Nausea,Enlarged liver,Loss of appetite,Jaundice,Tiredness,Liver abnormalities
Occupational liver damage -- benzene,Nausea,Enlarged liver,Loss of appetite,Jaundice,Tiredness,Liver abnormalities
Occupational liver damage -- bipyridyl pesticides,Nausea,Enlarged liver,Loss of appetite,Jaundice,Tiredness,Liver abnormalities
Occupational liver damage -- beta-propiolactone,Nausea,Enlarged liver,Loss of appetite,Jaundice,Tiredness,Liver abnormalities
Occupational liver damage -- arsine,Nausea,Enlarged liver,Loss of appetite,Jaundice,Tiredness,Liver abnormalities
"Neuroectodermal tumor, primitive",Large head,Lower abdominal pain,Movement problems,Personality changes,Impaired sense of balance - brain tumor,Reduced muscle tone
